Year,GDP_Growth,Inflation,Unemployment,Population_Growth,Exports,Imports,FDI,Exchange_Rate
1991,6.91198283591309,9.41906784347004,2.617,1.77013689509296,28.3512610672578,26.4883038133183,1.2707722797342,1950.3175
1992,6.49750651682714,7.52351006242677,2.734,1.7332257161332,30.3074635078275,27.1199706023253,1.38798883350104,2029.92083333333
1993,6.49640812045304,9.6719108926401,2.782,1.70158442607601,26.7548134217247,23.768572466506,1.26830064559013,2087.10386666667
1994,7.53997109551439,8.53199829189143,4.366,1.6859518715422,26.5114278515733,25.3656731979016,1.1922519299764,2160.753675
1995,8.22000739903493,9.42030300572996,4.611,1.66278546327292,26.3121650131426,27.6464250504,2.15007984011937,2248.607975
1996,7.81818707670867,7.97328096513346,4.861,1.64546182640737,25.8245519820943,26.4401916750537,2.72419788646708,2342.29629166667
1997,4.69987885390397,6.22615154887214,4.684,1.62630782020292,27.8592432831317,28.134615525546,2.16779685196237,2909.38
1998,-13.1267254923818,58.4510413515526,5.459,1.58071800042293,52.968134566078,43.2180577941907,-0.252290447660406,10013.6225
1999,0.79112608199847,20.4778324428892,6.358,1.50317096427875,35.5141290838601,27.4297837763323,-1.33257354110795,7855.15
2000,4.9200677470169,3.68862037056682,6.077,1.43244007763682,40.9773084738704,30.4595674435027,-2.75743993350903,8421.775
2001,3.64346644721492,11.5001160550887,6.082,1.38801892806803,39.0321390955111,30.7610684301127,-1.85568619300523,10260.85
2002,4.49947539085764,11.9001200338414,6.604,1.35572575488289,32.6876208878375,26.3918408785348,0.0741516383181159,9311.19166666667
2003,4.78036912167654,6.75731256333564,6.657,1.32378197652859,30.4776547809661,23.1388389663355,-0.254256320381005,8577.13333333334
2004,5.03087394501685,6.06406189133648,7.303,1.27101139474106,32.2166946182599,27.5446002184312,0.738243979887563,8938.85
2005,5.69257130383384,10.4532001873347,7.945,1.28380661170743,34.0672676279992,29.9206682408643,2.91611483313067,9704.74166666666
2006,5.50095178520348,13.108670985346,7.551,1.32525502272966,31.0347163143166,25.6224105005701,1.34794264068931,9159.31666666667
2007,6.34502222667214,6.40656087966005,8.06,1.32086532413059,29.4357184851264,25.3935314930811,1.6030105718879,9141.0
2008,6.01370360009123,10.2266663272483,7.208,1.29735043016571,29.8082841673732,28.7531154639229,1.82632902403998,9698.9625
2009,4.62887118256153,4.38641311792074,6.106,1.26698625068088,24.1591196686279,21.3530017000775,0.90391941965406,10389.9375
2010,6.22385418062366,5.13420639015885,5.614,1.26054140134601,24.2990309366408,22.4022429392329,2.02517914569356,9090.43333333333
2011,6.16978420771008,5.35604849112582,5.153,1.27668830646548,26.3273530888836,23.8526600952268,2.30298429381592,8770.43333333333
2012,6.03005065305615,4.2795142691943,4.468,1.28583816632167,24.5943787881769,24.9885195110858,2.30978031853073,9386.62916666667
2013,5.5572636889101,6.41249457900391,4.336,1.24038001568984,23.9235763793605,24.7137962959288,2.55135633401058,10461.24
2014,5.006668425755,6.39492882396559,4.049,1.17536091203837,23.6659845969367,24.414190988586,2.81997260412102,11865.2112962963
2015,4.87632230022123,6.36312061196646,4.514,1.12233981761262,21.1601792598059,20.7774609817235,2.29761639380441,13389.4129365079
2016,5.03306918280177,3.52580452815451,4.301,1.0744882002252,19.0889938536664,18.3323479486654,0.487372471368879,13308.3268020542
2017,5.06978590134916,3.80879857691949,3.783,1.02232939771064,20.1773044351106,19.17819263535,2.01948919812582,13380.8338788891
2018,5.17429153955024,3.19834755924996,4.387,0.969743409524713,21.0027464972455,22.0715624579547,1.81428979349441,14236.9387734818
2019,5.01928768046282,3.03058460941661,3.59,0.935604959235128,18.5915277970883,19.0362497386225,2.23336204282241,14147.6713605454
2020,-2.06551182934165,1.91983527270793,4.255,0.849801187379341,17.3311682848923,15.6410071153504,1.81058402027127,14582.2034678177
2021,3.70288562827751,1.56007882983334,3.827,0.704601321926319,21.4165556390653,18.7882026359018,1.7878556314554,14308.1439011897
2022,5.30719722664799,4.20946463714784,3.462,0.746050469653246,24.5029116862832,20.9617585096621,1.87264100861425,14849.8539362105
2023,5.04902331835997,3.66938654859761,3.308,0.842666137328498,21.7538472039177,19.5824396668474,1.57116694173474,15236.8846620506
2024,5.03034469419038,2.18151273615189,3.301,0.813871513351669,22.18331286866,20.389334433174,1.73855500774354,15855.4482866711
