,GDP_Growth,Inflation,Unemployment,Population_Growth,Exports,Imports,FDI,Exchange_Rate
GDP_Growth,1.0,-0.789139774319233,-0.08469581595680598,0.06714817828530667,-0.5105444583610783,-0.4300129544074615,0.3357647312795463,-0.27176848230950285
Inflation,-0.789139774319233,1.0,0.21392414293024042,0.40113117112485963,0.7717223693741079,0.7907276177574545,-0.3186776054285608,-0.174373757278303
Unemployment,-0.08469581595680598,0.21392414293024042,1.0,0.14075454062571072,0.4940061907393959,0.4020660456827473,-0.29515259936843874,-0.015976522553784216
Population_Growth,0.06714817828530667,0.40113117112485963,0.14075454062571072,1.0,0.5388844627483611,0.6565685306331142,-0.23246645862158796,-0.9403583868297303
Exports,-0.5105444583610783,0.7717223693741079,0.4940061907393959,0.5388844627483611,1.0,0.9264425125553895,-0.6394425639469028,-0.33123460449497344
Imports,-0.4300129544074615,0.7907276177574545,0.4020660456827473,0.6565685306331142,0.9264425125553895,1.0,-0.38599322506313544,-0.4654443634949032
FDI,0.3357647312795463,-0.3186776054285608,-0.29515259936843874,-0.23246645862158796,-0.6394425639469028,-0.38599322506313544,1.0,0.06533786662264718
Exchange_Rate,-0.27176848230950285,-0.174373757278303,-0.015976522553784216,-0.9403583868297303,-0.33123460449497344,-0.4654443634949032,0.06533786662264718,1.0
